tissue,num_non_tfs,num_tfs,mae,f1_005,f1_001,abs_time_saving,rel_time_saving,abs_emission_saving,rel_emission_saving,total_runtime
Breast,1,-1,0.015642675900466564,0.8079805786941626,0.8700678514653603,322360.0616207123,191.8787704994531,12.651555510463048,328.05420098200005,1688.820924282074
Breast,2,-1,0.015303006475171601,0.8199071356603598,0.8731676466941922,322368.94287490845,192.89316653164306,12.644221116895896,275.76832397660576,1679.939670085907
Breast,3,-1,0.014637566128115191,0.8324720660694852,0.8728561080842755,322403.1341636181,196.90062357771035,12.645883544865956,286.1040607849829,1645.7483813762665
Breast,4,-1,0.014534773729719182,0.8332369211437678,0.8731624287568955,322601.72111201286,223.9203416839114,12.65075657015246,321.41589164238155,1447.161432981491
Breast,5,-1,0.014646557931241016,0.8337594807851308,0.8732623433002501,322366.5899350643,192.62337635690534,12.645732889927176,285.13558443855277,1682.2926099300385
Breast,6,-1,0.014480243902007554,0.8322435847041476,0.8742998739733719,322462.48863601685,204.26760384743045,12.646933979881204,293.0440095295322,1586.3939089775085
Breast,7,-1,0.014451521739324976,0.8334157789963635,0.8743648844702084,322051.6643149853,162.25011251951236,12.638719843554956,246.3213990302678,1997.218230009079
Breast,8,-1,0.014414617928341344,0.8363089089364828,0.8744881244881245,322132.68008875847,169.1099400746743,12.638630437518225,245.8946738103108,1916.2024562358856
Breast,9,-1,0.014643423730584148,0.8323220259260269,0.871239878558399,322649.1647372246,231.51015207937806,12.647097293103455,294.15333292470234,1399.7178077697754
Breast,10,-1,0.014496081971117313,0.8343133640951653,0.8752796736044522,322274.932618618,182.67081709962963,12.646883060126562,292.6998404590368,1773.9499263763428
Breast,20,-1,0.01421578384961255,0.8402027359275792,0.8751333943886872,321850.0509750843,147.37321720292138,12.62966117661022,209.48699084501334,2198.8315699100494
Breast,30,-1,0.014069534883729981,0.8379993711737993,0.875160521439978,322166.01524448395,172.1039408656953,12.631479064647287,215.96801791828182,1882.8673005104065
Breast,40,-1,0.0141393088958705,0.8383495790246257,0.8755138241763439,321280.19534373283,117.04062575120267,12.607320331781509,153.0446510404,2768.6872012615204
Breast,50,-1,0.013993382618774074,0.8395734209626468,0.8746244651234524,321368.29870224,120.8874266033128,12.607820088676284,153.97265698253443,2680.583842754364
Breast,60,-1,0.013970979778153383,0.8417027105995507,0.8747756328646379,321653.9149377346,135.30407741746507,12.609656050090345,157.48069820653387,2394.9676072597504
Breast,70,-1,0.0141063008081933,0.8390667865038276,0.8740142232102512,321113.5901646614,110.39748023610441,12.592592396852393,129.96105600257061,2935.292380332947
Breast,80,-1,0.014216493879370703,0.841168512522448,0.8742046749165193,321162.06373524666,112.25120241381404,12.590761874340878,127.56958212348032,2886.818809747696
Breast,90,-1,0.013999340918452894,0.8400341622804282,0.8753610434509311,321105.10392951965,110.07922974966637,12.576817370580333,111.88565523124917,2943.778615474701
Breast,100,-1,0.014049345093153254,0.8391448131400929,0.8746748524709634,320786.82335209846,99.33874996833529,12.589108414482103,125.48384859774208,3262.0591928958893
Breast,200,-1,0.014039888137575058,0.8406279947651146,0.8740586477194735,319112.25171518326,65.64170863013355,12.494609470854686,64.86877163419464,4936.630829811096
Breast,300,-1,0.014033187195973533,0.8410712097365227,0.8741133051016702,317413.24496364594,48.83462645034101,12.423736270183214,47.61769243841068,6635.637581348419
