	tissue	num_clusters	gene_type	avg_silhouette
0	Adipose_Tissue	2	tf	0.6017776813028856
1	Adipose_Tissue	3	tf	0.5576826902443189
2	Adipose_Tissue	4	tf	0.3493005210724401
3	Adipose_Tissue	5	tf	0.3433466984655198
4	Adipose_Tissue	6	tf	0.32497143062350503
5	Adipose_Tissue	7	tf	0.3201616011820996
6	Adipose_Tissue	8	tf	0.293002971109885
7	Adipose_Tissue	9	tf	0.30803016228245833
8	Adipose_Tissue	10	tf	0.31110524957741215
9	Adipose_Tissue	20	tf	0.23942106312770892
10	Adipose_Tissue	30	tf	0.1851799554496699
11	Adipose_Tissue	40	tf	0.15386667388652855
12	Adipose_Tissue	50	tf	0.13546700587608593
13	Adipose_Tissue	60	tf	0.12088204687958834
14	Adipose_Tissue	70	tf	0.13648784910348388
15	Adipose_Tissue	80	tf	0.13189013516402578
16	Adipose_Tissue	90	tf	0.1283448820522849
17	Adipose_Tissue	100	tf	0.12131113511999525
18	Adipose_Tissue	200	tf	0.09353563908740842
19	Adipose_Tissue	300	tf	0.09407332366166991
20	Adipose_Tissue	400	tf	0.08896554748635954
21	Adipose_Tissue	500	tf	0.0894170994483416
22	Adipose_Tissue	600	tf	0.0874902152872793
23	Adipose_Tissue	700	tf	0.08534076158448868
24	Adipose_Tissue	800	tf	0.08227227896130195
25	Adipose_Tissue	900	tf	0.07608753897014787
26	Adipose_Tissue	1000	tf	0.0680278682852752
27	Adipose_Tissue	1100	tf	0.06044036198294556
28	Adipose_Tissue	1200	tf	0.0490906410673654
29	Adipose_Tissue	1300	tf	0.03745259699121932
30	Adipose_Tissue	1400	tf	0.027078566425397622
31	Adipose_Tissue	2	non_tf	0.6065269075908698
32	Adipose_Tissue	3	non_tf	0.4557043523526239
33	Adipose_Tissue	4	non_tf	0.44768691682951145
34	Adipose_Tissue	5	non_tf	0.4177989279526145
35	Adipose_Tissue	6	non_tf	0.41558788043907474
36	Adipose_Tissue	7	non_tf	0.4152827205697015
37	Adipose_Tissue	8	non_tf	0.3716113692890027
38	Adipose_Tissue	9	non_tf	0.2922447716512354
39	Adipose_Tissue	10	non_tf	0.25887864243159253
40	Adipose_Tissue	20	non_tf	0.2459975666123993
41	Adipose_Tissue	30	non_tf	0.17088179255386263
42	Adipose_Tissue	40	non_tf	0.12780129861564427
43	Adipose_Tissue	50	non_tf	0.11941349372079675
44	Adipose_Tissue	60	non_tf	0.09589359626888795
45	Adipose_Tissue	70	non_tf	0.11068575121989585
46	Adipose_Tissue	80	non_tf	0.10119087542129478
47	Adipose_Tissue	90	non_tf	0.09502137929071157
48	Adipose_Tissue	100	non_tf	0.0903488127512005
49	Adipose_Tissue	200	non_tf	0.06874842716370139
50	Adipose_Tissue	300	non_tf	0.05366764706300438
51	Adipose_Tissue	400	non_tf	0.04775032646154446
52	Adipose_Tissue	500	non_tf	0.04539176965784196
53	Adipose_Tissue	600	non_tf	0.046175239708819836
54	Adipose_Tissue	700	non_tf	0.04613908595035151
