tissue,num_non_tfs,num_tfs,mae,f1_005,f1_001,abs_time_saving,rel_time_saving,abs_emission_saving,rel_emission_saving,total_runtime,correlation
Breast,1,-1,0.008176630714352207,0.8653387596411365,0.0,322486.7658996582,207.44218014222776,12.644115760656074,275.13840301990933,1562.1166453361511,0.8393437130531789
Breast,2,-1,0.0082751076189437,0.8655176611767161,0.0,322338.2283320427,189.42979831433144,12.640288266417944,254.05576217887975,1710.6542129516602,0.8437516980240946
Breast,3,-1,0.007869967933713919,0.8677830568501483,0.0,322657.2948052883,232.86270301105614,12.650034905521666,315.64644877539865,1391.5877397060394,0.8463782319864811
Breast,4,-1,0.007737954206474575,0.8697609848411905,0.0,322538.234139204,214.50979678852607,12.644765655407113,279.0706299877294,1510.648405790329,0.8493351651607417
Breast,5,-1,0.007851494549948754,0.8713249145328961,0.0,322596.14090943336,223.0602294398067,12.645411335182633,283.09026343829066,1452.7416355609894,0.8481267037761985
Breast,6,-1,0.007794197530072945,0.867843643242525,0.0,322478.96367836,206.41122890617805,12.64234078553174,264.942508586039,1569.918866634369,0.8425509876533586
Breast,7,-1,0.007849456319170662,0.8683312790466248,0.0,322568.3125705719,218.8676578230626,12.644376815182197,276.7045370370371,1480.5699744224548,0.8411671170154117
Breast,8,-1,0.007976989427637667,0.869570068691377,0.0,322248.7635138035,180.01525284170748,12.631028340446846,214.32401960252253,1800.1190311908722,0.8441234143480447
Breast,9,-1,0.008139937475975838,0.8690567360916067,0.0,322544.78932881355,215.4446805948772,12.648968737035057,307.49207015362197,1504.0932161808014,0.8433438282097425
Breast,10,-1,0.007970435859952602,0.8692824467389884,0.0,322150.5427284241,170.7011988667294,12.632377075723209,219.3198266866667,1898.339816570282,0.8477177715110958
Breast,20,-1,0.007870715338254739,0.870978497871085,0.0,322083.7011461258,164.89515050954745,12.626959897407998,200.54432282974133,1965.1813988685608,0.8442326748753067
Breast,30,-1,0.007954203251642675,0.869829454771015,0.0,322220.55764222145,177.23812767278406,12.62873794823186,206.34225208778696,1828.3249027729034,0.8451465555807173
Breast,40,-1,0.007674489727708462,0.8704175747537268,0.0,321559.65694379807,130.18060009878604,12.619202582659792,178.64445343049988,2489.225601196289,0.8535343836830939
Breast,50,-1,0.007689113682283018,0.87060209346537,0.0,321662.5758509636,135.79515296821987,12.61915941439775,178.53595836080112,2386.3066940307617,0.8475972854462344
Breast,60,-1,0.007779420163622352,0.8726526538403822,0.0,321764.0399699211,141.8254745776552,12.609374113995244,156.93163957019541,2284.842575073242,0.8492378701805259
Breast,70,-1,0.007816363831410841,0.8713924872614411,0.0,321514.00985360146,127.83635393023674,12.593300984753403,130.9110337216001,2534.8726913928986,0.85321730995094
Breast,80,-1,0.007694433086872724,0.8710131323883887,0.0,321296.35022187233,117.72754849158177,12.585943149707612,121.6755465741753,2752.5323231220245,0.8509860290684079
Breast,90,-1,0.007800586305003034,0.872220737736841,0.0,321434.0072402954,123.92517607347351,12.602705554027157,144.9760998078003,2614.875304698944,0.8490812353767109
Breast,100,-1,0.007548769851203192,0.8703613936830211,0.0,320805.715770483,99.91742795706837,12.570252676304401,105.76415830849729,3243.1667745113373,0.8520000751400506
Kidney,1,-1,0.014619431219626085,0.8305328245146496,0.0,274100.1849155426,235.5965736737051,5.712991031911323,188.4361650092484,1168.3895490169525,0.8123598082522921
Kidney,2,-1,0.01488261082372873,0.8269308600596774,0.0,274330.55120396614,293.45602185858223,5.717127968437632,218.02871581448474,938.0232605934143,0.8115782421275274
Kidney,3,-1,0.014061960827486519,0.8299179859033982,0.0,274564.55918097496,390.9980093940435,5.723692075883238,290.3878607010886,704.0152835845947,0.8289112046669248
Kidney,4,-1,0.014189586071486009,0.8352013702505754,0.0,274498.7959303856,357.59450574955946,5.722069371202393,268.3698883393487,769.7785341739655,0.8222082250058268
Kidney,5,-1,0.013927889252039695,0.8322413316154748,0.0,274433.8765144348,329.78225766988203,5.7234186011439645,286.42748889291045,834.6979501247406,0.8319273533087171
Kidney,6,-1,0.013745041917832445,0.8322140147029183,0.0,274633.687554121,433.5710343664549,5.725719662668519,323.5570083120997,634.8869104385376,0.833860391368016
Kidney,7,-1,0.013880098534705513,0.8330776986679933,0.0,274152.7542309761,246.69616680147132,5.712784976511193,187.17081121740097,1115.8202335834503,0.8307122865963558
Kidney,8,-1,0.014057606056887788,0.830698071648791,0.0,274211.8544766903,260.4933924072001,5.714806989713951,200.37433311754336,1056.7199878692627,0.828576276616108
Kidney,9,-1,0.01380925340383081,0.8367766041954751,0.0,274138.7027387619,243.62816431239463,5.71251925297006,185.56391704412283,1129.8717257976532,0.8310022486840867
Kidney,10,-1,0.014131874626614116,0.834281498967247,0.0,274212.5015950203,260.6530121208895,5.713675041453379,192.76203548199567,1056.0728695392609,0.8261997790662479
Kidney,20,-1,0.01387472796402084,0.8348760604872404,0.0,274091.3035569191,233.81922773940454,5.711642410482506,180.45178698167572,1177.2709076404572,0.8314016418358497
Kidney,30,-1,0.013703261734607475,0.8336607266075303,0.0,273994.64537620544,216.07841204112916,5.708258660305825,163.11101746222695,1273.9290883541107,0.8340235645747287
Kidney,40,-1,0.013721417524664815,0.8336788822754729,0.0,273481.7140946388,154.0515303256578,5.69327298266996,114.41698248744437,1786.8603699207306,0.833215801341387
Kidney,50,-1,0.013905667027069246,0.8355250731891586,0.0,273620.11443543434,166.9852890583195,5.6970408578059155,123.70215202173152,1648.4600291252136,0.8275587661361826
Kidney,60,-1,0.013734716384789084,0.8351871081994605,0.0,273476.24991869926,153.58188063670943,5.69555438901165,119.86464018529578,1792.3245458602905,0.8338147471596465
Kidney,70,-1,0.013813791784915371,0.8336986498195899,0.0,272959.97574329376,119.23621542752619,5.679249746713111,89.4329795603435,2308.598721265793,0.831322418755042
Kidney,80,-1,0.01397412415535375,0.8340571757235,0.0,273043.64832258224,123.7203200911317,5.682115614482763,93.61035320833636,2224.92614197731,0.8294138983723748
Kidney,90,-1,0.013928057369380811,0.8364176844313309,0.0,273162.2640750408,130.6875642993218,5.681980563508126,93.4047564845879,2106.310389518738,0.8283598312132997
Kidney,100,-1,0.01373868985200169,0.8358873658434774,0.0,272753.3429543972,109.44065122927451,5.676057246548065,85.19769993201434,2515.2315101623535,0.8348800210503966
Testis,1,-1,0.00814522087314636,0.8913952030600311,0.0,327727.7534725666,83.76074953669087,13.042445693709219,156.42975225830622,3959.9418239593506,0.8590955084699347
Testis,2,-1,0.00834912307013704,0.8920830287070358,0.0,330000.58734989166,196.6013472689928,13.07874258445053,275.6754088327947,1687.1079466342926,0.8647374708475913
Testis,3,-1,0.007878521466308228,0.8894584252241664,0.0,329947.329713583,190.58506933677762,13.075675120705407,258.9907446371423,1740.3655829429626,0.8656249140640896
Testis,4,-1,0.007647731286574322,0.8908243073203227,0.0,328350.2150762081,99.38266997877162,13.05703389087611,189.3480692616055,3337.4802203178406,0.8630905275809104
Testis,5,-1,0.007741517716929335,0.8910557631170891,0.0,328012.62462592125,90.2534196007581,13.025761558390228,130.48550413716077,3675.070670604706,0.8688827403221919
Testis,6,-1,0.007675583826800508,0.8918805514172026,0.0,330053.860401392,203.01175858367748,13.076347359675838,262.47208764590255,1633.8348951339722,0.8684348213848726
Testis,7,-1,0.007898531767962918,0.8914985748416916,0.0,329597.9010028839,158.71786821585607,13.06757527485758,223.3035516958627,2089.794293642044,0.8677441584161627
Testis,8,-1,0.007778528198677406,0.891134432124945,0.0,329200.258882761,133.34519566451448,13.053705895359615,180.6745307861986,2487.4364137649536,0.8670285528049142
Testis,9,-1,0.007654794819566543,0.8919911898732985,0.0,329484.27469182014,150.5330823303303,13.060974912448057,200.76121237363935,2203.4206047058105,0.8647666490662168
Testis,10,-1,0.007485832949759372,0.8908515748753214,0.0,329524.6523864269,153.343095390253,13.059915599438952,197.56040322617645,2163.0429100990295,0.8658095441374353
Testis,20,-1,0.007554413222218028,0.8911425383654039,0.0,325862.02423524857,56.935534431598526,12.998271094956102,102.48021214942992,5825.6710612773895,0.8664537795697193
Testis,30,-1,0.007573918948192143,0.8917972549697656,0.0,329276.0157086849,137.53389835399196,13.051127587835264,174.4824149064141,2411.679587841034,0.8674165994007317
Testis,40,-1,0.007376061998263603,0.8927295573849424,0.0,329362.4154074192,142.64420246800603,13.052998471555254,178.93223871265974,2325.2798891067505,0.8703736025668369
Testis,50,-1,0.0073894256110491625,0.8932238914323852,0.0,328037.27619051933,90.86290797425062,13.031225137159552,137.97943348467126,3650.4191060066223,0.8732341931909178
Testis,60,-1,0.0073425874069341255,0.8926558577160422,0.0,328557.4766278267,105.9631068631879,13.02679723238976,131.8428726120932,3130.2186686992645,0.8708991807255452
Testis,70,-1,0.007440593509309008,0.8930285022624488,0.0,327970.6850924492,89.2350779485984,13.001992009067289,105.5463279256995,3717.010204076767,0.8697089318735222
Testis,80,-1,0.007474839713910282,0.8927321502996719,0.0,328910.03897690773,119.4127916235925,13.027112654343844,132.26189678909026,2777.656319618225,0.8675134877353077
Testis,90,-1,0.0074862053476466815,0.8914636443514693,0.0,328775.12563085556,113.88146323366325,13.026499503380002,131.4497813066673,2912.569665670395,0.8625369841666629
Testis,100,-1,0.007394848988427347,0.8927226880900722,0.0,328125.7221457958,93.11908912860183,12.999049025438222,103.10642546181163,3561.973150730133,0.8671258096973571
